code	name	market	market_name	sectors	sector_codes	concepts	concept_codes	updated_at
sh600060	海信视像	sh_main	上证主板	彩电|黑色家电|家用电器	BK1453|BK1241|BK0456	消费风格|中盘价值|中盘股|显示技术|消费电子概念|价值股|DeepSeek概念|AI眼镜|多模态AI|机器人概念|元宇宙概念|商业航天|MicroLED|MiniLED|国产芯片|标准普尔|超清视频|电子竞技|工业互联|MSCI中国|AI智能体|人工智能|体育产业|沪股通|上证380|中证500|智能家居|智能电视|智能穿戴|融资融券|LED概念|节能环保	BK1711|BK1670|BK1664|BK1651|BK1646|BK1640|BK1188|BK1178|BK1153|BK1090|BK1009|BK0963|BK0948|BK0902|BK0891|BK0879|BK0859|BK0853|BK0832|BK0821|BK0809|BK0800|BK0708|BK0707|BK0705|BK0701|BK0680|BK0656|BK0641|BK0596|BK0580|BK0494	2026-06-20 11:26:42
sh600061	国投资本	sh_main	上证主板	金融控股|非银金融|多元金融	BK1359|BK1203|BK0738	金融地产风格|破增发价股|中盘成长|中盘股|破净股|标准普尔|富时罗素|MSCI中国|雄安新区|证金持股|券商概念|沪股通|上证380|央国企改革|互联网金融|融资融券|长江三角|机构重仓|转债标的|参股期货|HS300_	BK1714|BK1673|BK1669|BK1664|BK1112|BK0879|BK0867|BK0821|BK0813|BK0718|BK0711|BK0707|BK0705|BK0683|BK0637|BK0596|BK0594|BK0552|BK0528|BK0524|BK0500	2026-06-20 11:26:42
sh600062	华润双鹤	sh_main	上证主板	化学制剂|医药生物|化学制药	BK1594|BK1216|BK0465	医药医疗风格|小盘价值|特色药|小盘股|合成生物|创新药|肝素概念|长寿药|流感|标准普尔|青蒿素|富时罗素|沪股通|中证500|央国企改革|中药概念|融资融券	BK1712|BK1668|BK1656|BK1643|BK1174|BK1106|BK0944|BK0936|BK0906|BK0879|BK0872|BK0867|BK0707|BK0701|BK0683|BK0615|BK0596	2026-06-20 11:26:42
sh600063	皖维高新	sh_main	上证主板	其他化学纤维|基础化工|化学纤维	BK1415|BK1206|BK0471	趋势股|小盘价值|小盘股|昨日高振幅|2025三季报预增|降解塑料|MLCC|OLED|养老金|沪股通|央国企改革|融资融券|新材料|参股券商|煤化工概念	BK1715|BK1668|BK1643|BK1633|BK1198|BK0909|BK0890|BK0840|BK0823|BK0707|BK0683|BK0596|BK0523|BK0514|BK0492	2026-06-20 11:26:42
sh600064	南京高科	sh_main	上证主板	住宅开发|房地产|房地产开发	BK1346|BK1202|BK0451	小盘价值|小盘股|红利股|红利破净股|长期破净|破净股|证金持股|沪股通|上证380|IPO受益|央国企改革|参股新三板|融资融券|长江三角|参股银行|参股券商|创投	BK1668|BK1643|BK1641|BK1636|BK1635|BK1112|BK0718|BK0707|BK0705|BK0697|BK0683|BK0600|BK0596|BK0594|BK0525|BK0514|BK0506	2026-06-20 11:26:42
sh600065	*ST联谊	sh_main	上证主板					2026-06-20 11:26:42
sh600066	宇通客车	sh_main	上证主板	商用载客车|商用车|汽车	BK1531|BK1264|BK1211	先进制造风格|大盘股|电池技术|红利股|汽车整车|车联网(车路云)|新能源车|标准普尔|富时罗素|MSCI中国|无人驾驶|沪股通|燃料电池概念|上证180_|融资融券|HS300_	BK1710|BK1663|BK1648|BK1641|BK1029|BK0920|BK0900|BK0879|BK0867|BK0821|BK0802|BK0707|BK0682|BK0612|BK0596|BK0500	2026-06-20 11:26:42
sh600067	冠城新材	sh_main	上证主板	线缆部件及其他|电力设备|电网设备	BK1312|BK1200|BK0457	2025年报扭亏|破增发价股|破发股|电池技术|昨日高振幅|破净股|储能概念|新能源车|融资融券|锂电池概念|参股银行	BK1679|BK1673|BK1672|BK1648|BK1633|BK1112|BK0989|BK0900|BK0596|BK0574|BK0525	2026-06-20 11:26:42
sh600068	葛洲坝	sh_main	上证主板					2026-06-20 11:26:42
sh600069	退市银鸽	sh_main	上证主板					2026-06-20 11:26:42
sh600070	*ST富润	sh_main	上证主板					2026-06-20 11:26:42
